var1,var2,var3,var4,epsilon,copies,number
0,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,1,0,1,0.0,10,1
0,1,1,0,0.0,10,1
1,1,0,1,0.0,10,1
0,0,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,1,1,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
1,1,0,1,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,0,0.0,10,1
1,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,0,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,0,0,0.0,10,1
1,1,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,0,1,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,1,1,0.0,10,1
1,0,1,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,0,1,0.0,10,1
0,0,0,1,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,1,0.0,10,1
0,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
1,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
1,0,0,0,0.0,10,1
0,1,0,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,0,1,0.0,10,1
1,1,0,1,0.0,10,1
0,1,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,1,0.0,10,1
0,0,1,1,0.0,10,1
0,0,1,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
1,0,1,1,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,1,0.0,10,1
1,0,0,1,0.0,10,1
0,0,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
1,1,0,0,0.0,10,1
0,1,0,0,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,1,0,1,0.0,10,1
1,0,1,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,1,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,0,1,1,0.0,10,1
0,0,0,1,0.0,10,1
1,1,0,1,0.0,10,1
0,0,1,1,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,1,1,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,1,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,0,1,1,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,0,1,1,0.0,10,1
0,0,1,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,1,0.0,10,1
0,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,1,0,0.0,10,1
0,0,0,1,0.0,10,1
1,0,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,1,0,1,0.0,10,1
0,0,1,0,0.0,10,1
0,0,0,1,0.0,10,1
1,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,1,0,1,0.0,10,1
0,0,1,1,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
0,1,1,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,1,0.0,10,1
0,0,1,1,0.0,10,1
1,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,1,0,1,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,1,0.0,10,1
1,1,0,1,0.0,10,1
1,1,0,1,0.0,10,1
1,1,0,1,0.0,10,1
0,0,1,1,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,1,1,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,0,0,1,0.0,10,1
1,0,1,1,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,0,1,0.0,10,1
1,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,1,0,1,0.0,10,1
1,0,1,1,0.0,10,1
1,1,1,0,0.0,10,1
0,1,1,0,0.0,10,1
1,1,0,1,0.0,10,1
0,0,1,0,0.0,10,1
0,1,0,1,0.0,10,1
0,1,1,0,0.0,10,1
1,1,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
1,0,1,1,0.0,10,1
1,1,1,0,0.0,10,1
0,1,1,0,0.0,10,1
0,0,1,1,0.0,10,1
0,0,0,0,0.0,10,1
1,1,0,1,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,0,1,1,0.0,10,1
1,0,1,1,0.0,10,1
0,1,1,0,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
0,0,1,1,0.0,10,1
0,0,1,1,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,1,1,0.0,10,1
1,1,1,0,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,0,0.0,10,1
1,0,1,1,0.0,10,1
0,1,0,1,0.0,10,1
0,0,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,0,1,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,1,0,0.0,10,1
1,1,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,1,0,1,0.0,10,1
1,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
0,1,0,1,0.0,10,1
1,0,1,1,0.0,10,1
0,0,1,1,0.0,10,1
1,1,1,1,0.0,10,1
1,1,0,0,0.0,10,1
1,0,1,0,0.0,10,1
0,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,0,1,0.0,10,1
1,1,0,0,0.0,10,1
0,0,1,1,0.0,10,1
0,0,0,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,0,1,1,0.0,10,1
0,1,0,0,0.0,10,1
1,1,0,1,0.0,10,1
1,0,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
0,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,0,1,0.0,10,1
1,0,0,1,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,1,0.0,10,1
0,0,1,0,0.0,10,1
0,0,1,0,0.0,10,1
1,1,0,1,0.0,10,1
0,1,1,1,0.0,10,1
0,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,0,1,1,0.0,10,1
0,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,1,0,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,1,0.0,10,1
0,1,0,1,0.0,10,1
0,1,0,1,0.0,10,1
0,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,0,0,1,0.0,10,1
1,0,0,1,0.0,10,1
1,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,1,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,0,1,0,0.0,10,1
1,1,0,1,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,1,0.0,10,1
0,0,0,1,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,0,0.0,10,1
1,1,0,1,0.0,10,1
1,1,0,1,0.0,10,1
1,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,1,0.0,10,1
1,0,0,1,0.0,10,1
1,1,1,0,0.0,10,1
0,1,1,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,1,1,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,1,1,0,0.0,10,1
0,0,1,1,0.0,10,1
1,1,1,0,0.0,10,1
0,0,1,1,0.0,10,1
1,1,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,1,0.0,10,1
0,0,0,1,0.0,10,1
1,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,1,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,1,0,0.0,10,1
0,0,0,1,0.0,10,1
1,0,1,0,0.0,10,1
1,1,1,0,0.0,10,1
0,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,1,0.0,10,1
0,1,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,1,0,1,0.0,10,1
1,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,0,0,0,0.0,10,1
0,0,1,1,0.0,10,1
0,1,0,1,0.0,10,1
1,1,0,1,0.0,10,1
1,0,0,1,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,0,1,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,1,1,0.0,10,1
0,1,1,1,0.0,10,1
1,0,1,1,0.0,10,1
0,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,1,0.0,10,1
1,1,0,1,0.0,10,1
1,0,1,1,0.0,10,1
1,0,1,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,0,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,1,0,0.0,10,1
0,1,0,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
0,0,1,1,0.0,10,1
0,0,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,0,0,1,0.0,10,1
1,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,1,0.0,10,1
1,0,1,1,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,1,0.0,10,1
0,1,1,1,0.0,10,1
0,1,0,1,0.0,10,1
0,1,1,1,0.0,10,1
0,0,1,0,0.0,10,1
0,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,1,0,0,0.0,10,1
0,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,0,1,0.0,10,1
1,1,1,0,0.0,10,1
1,1,0,1,0.0,10,1
0,1,0,1,0.0,10,1
1,1,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,1,0,0,0.0,10,1
1,0,1,1,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,1,1,1,0.0,10,1
1,0,1,0,0.0,10,1
1,0,0,1,0.0,10,1
0,0,1,1,0.0,10,1
0,1,0,1,0.0,10,1
1,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
1,0,0,0,0.0,10,1
1,1,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,0,0,1,0.0,10,1
1,1,0,0,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,0,1,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,0,1,0,0.0,10,1
1,1,0,1,0.0,10,1
0,1,1,0,0.0,10,1
1,0,1,1,0.0,10,1
1,0,0,1,0.0,10,1
1,0,1,1,0.0,10,1
1,0,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
0,0,1,0,0.0,10,1
1,0,0,1,0.0,10,1
0,1,0,0,0.0,10,1
0,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,0,0,1,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
1,1,0,1,0.0,10,1
1,0,1,1,0.0,10,1
0,1,0,0,0.0,10,1
1,1,0,1,0.0,10,1
0,0,0,1,0.0,10,1
0,0,1,1,0.0,10,1
0,0,1,0,0.0,10,1
0,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,1,0,1,0.0,10,1
0,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,1,1,0.0,10,1
1,0,1,1,0.0,10,1
1,0,0,0,0.0,10,1
1,0,1,0,0.0,10,1
1,1,0,1,0.0,10,1
1,0,0,1,0.0,10,1
1,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,0,1,1,0.0,10,1
0,1,0,0,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,0,1,0.0,10,1
1,0,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,0,0,0.0,10,1
0,1,1,1,0.0,10,1
1,0,0,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,1,0.0,10,1
0,1,1,1,0.0,10,1
1,0,1,1,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,0,0,1,0.0,10,1
1,1,1,0,0.0,10,1
0,0,1,1,0.0,10,1
1,0,0,0,0.0,10,1
0,1,0,1,0.0,10,1
1,0,1,0,0.0,10,1
1,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,0,0,0,0.0,10,1
0,1,0,1,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,0,0,0.0,10,1
1,1,1,0,0.0,10,1
0,0,0,0,0.0,10,1
0,0,1,1,0.0,10,1
0,0,1,0,0.0,10,1
0,0,1,1,0.0,10,1
1,0,1,1,0.0,10,1
1,0,0,0,0.0,10,1
0,1,0,1,0.0,10,1
1,0,1,0,0.0,10,1
0,1,0,1,0.0,10,1
1,1,0,1,0.0,10,1
1,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
0,0,1,1,0.0,10,1
1,0,0,0,0.0,10,1
0,1,1,0,0.0,10,1
0,1,1,1,0.0,10,1
1,1,0,0,0.0,10,1
0,1,0,0,0.0,10,1
0,1,1,0,0.0,10,1
0,0,0,1,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,1,0.0,10,1
1,1,0,1,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,0,0.0,10,1
1,1,0,0,0.0,10,1
0,0,1,1,0.0,10,1
1,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
0,0,1,1,0.0,10,1
1,1,0,1,0.0,10,1
0,1,1,0,0.0,10,1
0,0,1,0,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,0,0.0,10,1
0,1,1,1,0.0,10,1
1,0,1,1,0.0,10,1
1,1,1,0,0.0,10,1
1,0,1,0,0.0,10,1
1,0,1,1,0.0,10,1
0,1,0,1,0.0,10,1
1,0,0,0,0.0,10,1
0,0,0,0,0.0,10,1
1,0,0,1,0.0,10,1
0,0,1,0,0.0,10,1
1,0,1,1,0.0,10,1
0,0,1,0,0.0,10,1
